Constituen,gss_code,Leave.preds,Remain.preds,LeavePct,RemainPct
Leeds Central and Headingley,E14001319,17178.19029,22997.47694,0.4275769756,0.5724230244
Leeds East,E14001320,28980.87115,21128.35284,0.5783540203,0.4216459797
Leeds North East,E14001321,17764.68281,31945.81808,0.3573627803,0.6426372197
Leeds North West,E14001322,23326.95132,31221.68828,0.4276358034,0.5723641966
Leeds South,E14001323,28211.25122,23845.18601,0.5419358819,0.4580641181
Leeds South West and Morley,E14001324,28435.53141,19463.90214,0.5936506824,0.4063493176
Leeds West and Pudsey,E14001325,23979.37841,21537.5842,0.5268229037,0.4731770963
Leicester East,E14001326,21975.1291,19981.82553,0.5237541498,0.4762458502
Leicester South,E14001327,18557.9031,25203.07636,0.4240742169,0.5759257831
Leicester West,E14001328,27458.9678,25795.09811,0.5156219968,0.4843780032
Leigh and Atherton,E14001329,33753.20506,18587.81137,0.6448710278,0.3551289722
Lewes,E14001330,28924.84241,30603.41524,0.4859010418,0.5140989582
Lewisham East,E14001331,17780.65184,29503.92555,0.3760349108,0.6239650892
Lewisham North,E14001332,11173.47934,34439.9584,0.2449602551,0.7550397449
Lewisham West and East Dulwich,E14001333,11398.57311,36700.63834,0.2369804571,0.7630195429
Leyton and Wanstead,E14001334,18679.19592,33748.22106,0.3562867865,0.6437132135
Lichfield,E14001335,33421.16589,24419.46419,0.5778146927,0.4221853073
Lincoln,E14001336,29546.09825,21732.82502,0.576184061,0.423815939
Liverpool Garston,E14001337,15488.57235,25065.18723,0.3819269165,0.6180730835
Liverpool Riverside,E14001338,19862.16828,25834.71584,0.4346503852,0.5653496148
Liverpool Walton,E14001339,23612.89069,21475.79954,0.5236987495,0.4763012505
Liverpool Wavertree,E14001340,14976.74772,31458.18558,0.3225319099,0.6774680901
Liverpool West Derby,E14001341,19402.66753,21620.2091,0.4729718909,0.5270281091
Livingston,S14000095,21182.54809,28035.29562,0.4303835051,0.5696164949
Llanelli,W07000098,26971.22086,21498.65168,0.5564533069,0.4435466931
Lothian East,S14000096,16583.86495,31389.18475,0.3456912799,0.6543087201
Loughborough,E14001342,24206.3164,23946.25154,0.5027004257,0.4972995743
Louth and Horncastle,E14001343,37904.02475,17920.14225,0.678989527,0.321010473
Lowestoft,E14001344,33430.35858,18458.38089,0.6442700078,0.3557299922
Luton North,E14001345,27824.8777,19132.20643,0.5925597429,0.4074402571
Luton South and South Bedfordshire,E14001346,25076.02815,21243.6916,0.5413683046,0.4586316954
Macclesfield,E14001347,26773.96466,30814.75586,0.4649168173,0.5350831827
Maidenhead,E14001348,24669.53323,28266.47353,0.4660255796,0.5339744204
Maidstone and Malling,E14001349,30084.97438,22724.48731,0.569689094,0.430310906
Makerfield,E14001350,35016.71557,18149.99477,0.6586210685,0.3413789315
Maldon,E14001351,37776.88182,24128.08484,0.6102399186,0.3897600814
Manchester Central,E14001352,20978.8758,25687.48145,0.4495503193,0.5504496807
Manchester Rusholme,E14001353,10098.21781,21374.64015,0.3208548083,0.6791451917
Manchester Withington,E14001354,9626.319854,33509.27467,0.2231641863,0.7768358137
Mansfield,E14001355,38684.2692,15944.79337,0.7081261765,0.2918738235
Melksham and Devizes,E14001356,27587.60245,27641.5642,0.4995114741,0.5004885259
Melton and Syston,E14001357,31605.4042,21494.14092,0.595210451,0.404789549
Meriden and Solihull East,E14001358,31707.34977,24763.70554,0.5614796748,0.4385203252
Merthyr Tydfil and Aberdare,W07000099,26949.89259,21629.68037,0.5547577088,0.4452422912
Mid Bedfordshire,E14001359,30121.02945,25292.31323,0.5435699778,0.4564300222
Mid Buckinghamshire,E14001360,26827.0317,29942.0083,0.472564477,0.527435523
Mid Cheshire,E14001361,26333.62706,20293.04494,0.5647760376,0.4352239624
Mid Derbyshire,E14001362,28571.75894,26086.55145,0.5227340314,0.4772659686
Mid Dorset and North Poole,E14001363,32672.11667,24682.17183,0.5696542931,0.4303457069
Mid Dunbartonshire,S14000097,15353.91102,41062.09626,0.2721552226,0.7278447774
Mid Leicestershire,E14001364,33237.95345,24798.43331,0.5727088695,0.4272911305
Mid Norfolk,E14001365,29553.00235,17201.72958,0.6320858045,0.3679141955
Mid Sussex,E14001366,24998.05448,30466.8101,0.4507007214,0.5492992786
Mid and South Pembrokeshire,W07000100,32076.21103,22967.96522,0.5827357809,0.4172642191
Middlesbrough South and East Cleveland,E14001368,28938.87493,14881.35363,0.6603999084,0.3396000916
Middlesbrough and Thornaby East,E14001367,31608.26077,16633.04174,0.6552115952,0.3447884048
Midlothian,S14000045,17251,28217,0.3794096947,0.6205903053
Milton Keynes Central,E14001369,24717.22242,26842.11812,0.4793936882,0.5206063118
Milton Keynes North,E14001370,26168.82607,25454.244,0.5069211505,0.4930788495
Mitcham and Morden,E14001371,24189.46416,25511.4082,0.4867009976,0.5132990024
Monmouthshire,W07000101,27569,28061,0.4955779256,0.5044220744
Montgomeryshire and Glyndwr,W07000102,31578.66,22210.40668,0.5870832485,0.4129167515
"Moray West, Nairn and Strathspey",S14000098,23904.63053,28088.40493,0.4597660114,0.5402339886
Morecambe and Lunesdale,E14001372,30699.77983,27721.05647,0.5254936727,0.4745063273
"Motherwell, Wishaw and Carluke",S14000099,16037.31986,28365.77718,0.3611757045,0.6388242955
Na h-Eileanan an Iar,S14000027,6671,8232,0.4476279944,0.5523720056
Neath and Swansea East,W07000103,28433.55686,22080.79554,0.5628807559,0.4371192441
New Forest East,E14001373,34665.77575,22549.14574,0.6058869758,0.3941130242
New Forest West,E14001374,29875.22425,24649.85426,0.5479171248,0.4520828752
Newark,E14001375,32274.09824,25349.09773,0.5600886535,0.4399113465
Newbury,E14001376,26940.38975,28472.09658,0.4861790462,0.5138209538
Newcastle upon Tyne Central and West,E14001377,33422.01862,28565.01089,0.5391776132,0.4608223868
Newcastle upon Tyne East and Wallsend,E14001378,27028.3,21385.23536,0.558279824,0.441720176
Newcastle upon Tyne North,E14001379,20030.96425,27172.81443,0.4243508636,0.5756491364
Newcastle-under-Lyme,E14001380,31949.07899,19834.76407,0.6169700258,0.3830299742
Newport East,W07000104,28722.39467,19981.49697,0.5897351054,0.4102648946
Newport West and Islwyn,W07000105,28500.56907,24005.76725,0.5428024705,0.4571975295
Newton Abbot,E14001381,31497.50102,24805.72286,0.5594262433,0.4405737567
Newton Aycliffe and Spennymoor,E14001382,28184.20647,18399.00792,0.6050292329,0.3949707671
Normanton and Hemsworth,E14001383,37317.02801,16249.12605,0.6966531136,0.3033468864
North Ayrshire and Arran,S14000048,20296.63887,28423.64527,0.4165952484,0.5834047516
North Bedfordshire,E14001384,28976.27623,25555.15547,0.531368338,0.468631662
North Cornwall,E14001385,34937.5344,23463.26245,0.5982372892,0.4017627108
North Cotswolds,E14001386,24482.89636,27183.19054,0.4738678277,0.5261321723
North Devon,E14001387,33100,24931,0.5703847943,0.4296152057
North Dorset,E14001388,31348.73369,24241.11623,0.5639290938,0.4360709062
North Durham,E14001389,29437.72922,21167.41843,0.5817141257,0.4182858743
North East Cambridgeshire,E14001390,37571,15055,0.713924676,0.286075324
North East Derbyshire,E14001391,33668.20636,20629.25669,0.6200696031,0.3799303969
North East Fife,S14000100,22650.56887,31374.21667,0.4192625411,0.5807374589
North East Hampshire,E14001392,26779.23729,32086.19837,0.454922944,0.545077056
North East Hertfordshire,E14001393,29835.77102,28959.40841,0.507452674,0.492547326
North East Somerset and Hanham,E14001394,29144.95537,26520.72024,0.5235713938,0.4764286062
North Herefordshire,E14001395,32996.27401,24304.96507,0.5758387522,0.4241612478
North Norfolk,E14001396,31318.44004,22356.20577,0.5834866644,0.4165133356
North Northumberland,E14001397,28051.91634,25325.87091,0.5255353919,0.4744646081
North Shropshire,E14001398,32838.16024,21687.13775,0.6022554934,0.3977445066
North Somerset,E14001399,27916.17132,31731.89077,0.4680147241,0.5319852759
North Warwickshire and Bedworth,E14001400,36294.96963,17054.40038,0.6803261149,0.3196738851
North West Cambridgeshire,E14001401,30493.06953,20724.7903,0.5953600879,0.4046399121
North West Essex,E14001402,29090.13269,27731.02859,0.5119594889,0.4880405111
North West Hampshire,E14001403,29977.00384,25449.63631,0.5408410785,0.4591589215
North West Leicestershire,E14001404,33128.55953,21340.5239,0.6082085,0.3917915
North West Norfolk,E14001405,37496.87876,20237.35248,0.6494739421,0.3505260579
Northampton North,E14001406,31887.77955,22082.82748,0.5908360366,0.4091639634
Northampton South,E14001407,29566.22045,21722.17252,0.5764700108,0.4235299892
Norwich North,E14001408,29322.1212,22340.35895,0.5675709164,0.4324290836
Norwich South,E14001409,20358.41657,29703.62971,0.406663692,0.593336308
Nottingham East,E14001410,16872.26817,25107.1923,0.4019172229,0.5980827771
Nottingham North and Kimberley,E14001411,27455.83637,19469.66582,0.5850941405,0.4149058595
Nottingham South,E14001412,22429.56663,18948.68236,0.5420617638,0.4579382362
Nuneaton,E14001413,32386.87478,18115.30344,0.641296592,0.358703408
Old Bexley and Sidcup,E14001414,36323.93571,21379.28218,0.6294958417,0.3705041583
Oldham East and Saddleworth,E14001415,30586.35291,21992.85505,0.5817195445,0.4182804555
"Oldham West, Chadderton and Royton",E14001416,27634.1232,17202.70668,0.6163264279,0.3836735721
Orkney and Shetland,S14000051,9508,14096,0.4028130825,0.5971869175
Orpington,E14001417,32137.91493,25108.15876,0.5613994613,0.4386005387
Ossett and Denby Dale,E14001418,29458.46017,23251.00509,0.5588836848,0.4411163152
Oxford East,E14001419,15063.19785,31880.31732,0.3208792055,0.6791207945
Oxford West and Abingdon,E14001420,22082.12619,39163.71558,0.3605489867,0.6394510133
Paisley and Renfrewshire North,S14000101,15221.8885,27268.7377,0.358241096,0.641758904
Paisley and Renfrewshire South,S14000102,16345.71869,28557.91974,0.364017689,0.635982311
Peckham,E14001421,11827.34193,25054.16991,0.3206848456,0.6793151544
Pendle and Clitheroe,E14001422,33855.70182,21306.84946,0.6137443072,0.3862556928
Penistone and Stocksbridge,E14001423,28000.05742,19192.37855,0.5933166374,0.4066833626
Penrith and Solway,E14001424,30609.38634,25277.44064,0.5477030634,0.4522969366
Perth and Kinross-shire,S14000103,20515.9384,33829.48875,0.37750993,0.62249007
Peterborough,E14001425,32365.3351,19896.25293,0.6192949032,0.3807050968
Plymouth Moor View,E14001426,34970.16846,18451.83712,0.6546023138,0.3453976862
Plymouth Sutton and Devonport,E14001427,24741.55717,21543.74318,0.5345445959,0.4654554041
"Pontefract, Castleford and Knottingley",E14001428,34653.49503,13930.49052,0.7132699106,0.2867300894
Pontypridd,W07000106,25239.6552,24683.09627,0.5055742013,0.4944257987
Poole,E14001429,30206.02189,22778.54596,0.5700909362,0.4299090638
Poplar and Limehouse,E14001430,14445.23691,30579.50889,0.3208288388,0.6791711612
Portsmouth North,E14001431,33884.4328,19198.12045,0.6383346453,0.3616653547
Portsmouth South,E14001432,23451.5672,22185.87955,0.5138667667,0.4861332333
Preston,E14001433,27686.22008,21892.04025,0.5584346827,0.4415653173
Putney,E14001434,14211.98124,38840.106,0.2678873156,0.7321126844
Queen's Park and Maida Vale,E14001435,15234.34514,27804.75063,0.3539652697,0.6460347303
Rawmarsh and Conisbrough,E14001436,34232.41999,14329.08321,0.7049291669,0.2950708331
Rayleigh and Wickford,E14001437,41015.29934,18871.54595,0.6848799456,0.3151200544
Reading Central,E14001438,18113.47166,32126.08173,0.3605420518,0.6394579482
Reading West and Mid Berkshire,E14001439,26110.23823,26755.10915,0.4939008164,0.5060991836
Redcar,E14001440,33246.64392,16522.7708,0.6680135603,0.3319864397
Redditch,E14001441,32524.90948,20673.03913,0.6113940542,0.3886059458
Reigate,E14001442,29537.46352,32228.53902,0.4782155604,0.5217844396
Rhondda and Ogmore,W07000107,28805.42263,18393.59377,0.6102970957,0.3897029043
Ribble Valley,E14001443,30160.09357,24348.53411,0.5533086202,0.4466913798
Richmond Park,E14001445,17317.21052,45064.47924,0.2776008566,0.7223991434
Richmond and Northallerton,E14001444,29799.73131,25324.48645,0.5405923662,0.4594076338
Rochdale,E14001446,24984.40925,18740.9743,0.5713937128,0.4286062872
Rochester and Strood,E14001447,31209.52593,17827.40773,0.636449378,0.363550622
Romford,E14001448,37930.40466,17815.88596,0.6804112747,0.3195887253
Romsey and Southampton North,E14001449,27553.88413,30271.239,0.4765036828,0.5234963172
Rossendale and Darwen,E14001450,32409.63006,22345.24353,0.5919040249,0.4080959751
Rother Valley,E14001451,34160.65493,17108.31354,0.6663027549,0.3336972451
Rotherham,E14001452,35153.12709,16614.00155,0.6790627182,0.3209372818
Rugby,E14001453,32070.12311,22406.66261,0.5886933799,0.4113066201
"Ruislip, Northwood and Pinner",E14001454,26201.58692,28617.462,0.4779650037,0.5220349963
Runcorn and Helsby,E14001455,27415.7244,23595.50488,0.5374448879,0.4625551121
Runnymede and Weybridge,E14001456,28465.57462,28406.46925,0.5005196347,0.4994803653
Rushcliffe,E14001457,24978.02594,34761.12591,0.4181181883,0.5818818117
Rutherglen,S14000104,16778.87928,28192.95787,0.3730974837,0.6269025163
Rutland and Stamford,E14001458,27760.47563,25665.03051,0.5196109057,0.4803890943
Salford,E14001459,24021.7726,20658.30424,0.5376394649,0.4623605351
Salisbury,E14001460,26114.37466,28637.17353,0.4769613924,0.5230386076
Scarborough and Whitby,E14001461,32986.73741,20979.91043,0.6112430312,0.3887569688
Scunthorpe,E14001462,35576.66495,17004.96784,0.6765987107,0.3234012893
Sefton Central,E14001463,21966.23282,30563.57906,0.4181669805,0.5818330195
Selby,E14001464,33331.35197,21541.58849,0.607427845,0.392572155
Sevenoaks,E14001465,32185.31027,26220.96053,0.5510591556,0.4489408444
Sheffield Brightside and Hillsborough,E14001466,27708.50008,20367.31835,0.5763500443,0.4236499557
Sheffield Central,E14001467,8389.963546,19708.5298,0.2985912249,0.7014087751
Sheffield Hallam,E14001468,18261.12215,33802.08901,0.3507490557,0.6492509443
Sheffield Heeley,E14001469,27876.17761,25799.70762,0.5193426712,0.4806573288
Sheffield South East,E14001470,37147.90535,20178.5717,0.6480060744,0.3519939256
Sherwood Forest,E14001471,35322.82957,21244.59103,0.6244376922,0.3755623078
Shipley,E14001472,25162.55114,25337.10404,0.4982717416,0.5017282584
Shrewsbury,E14001473,28996.03808,25685.90453,0.5302671539,0.4697328461
Sittingbourne and Sheppey,E14001474,36794.89663,18780.89745,0.6620669528,0.3379330472
Skipton and Ripon,E14001475,31665.24731,28485.32625,0.526433007,0.473566993
Sleaford and North Hykeham,E14001476,34760.41629,20817.32193,0.6254377635,0.3745622365
Slough,E14001477,25032.08283,21611.64423,0.5366655799,0.4633344201
Smethwick,E14001478,30296.81503,17957.52714,0.6278567621,0.3721432379
Solihull West and Shirley,E14001479,27822.70379,24715.89518,0.5295669153,0.4704330847
South Basildon and East Thurrock,E14001480,38192.16243,13380.54061,0.7405499456,0.2594500544
South Cambridgeshire,E14001481,24019.79402,36600.70819,0.3962321846,0.6037678154
South Cotswolds,E14001482,27204.75609,29502.82403,0.4797375594,0.5202624406
South Derbyshire,E14001483,30735.12532,19063.94358,0.6171827304,0.3828172696
South Devon,E14001484,30611.68753,26793.52898,0.5332561985,0.4667438015
South Dorset,E14001485,34576.06414,22985.54763,0.6006792213,0.3993207787
South East Cornwall,E14001486,29501.40031,24101.43446,0.5503701518,0.4496298482
South Holland and The Deepings,E14001487,40915.04135,16426.40572,0.7135334639,0.2864665361
South Leicestershire,E14001488,32399.95362,24563.31861,0.5687867349,0.4312132651
South Norfolk,E14001489,24031.39671,26248.78701,0.4779496599,0.5220503401
South Northamptonshire,E14001490,32289.76416,26768.85942,0.5467408857,0.4532591143
South Ribble,E14001491,31024.74481,23830.28724,0.5655770064,0.4344229936
South Shields,E14001492,30724.87896,20246.0366,0.6027923694,0.3972076306
South Shropshire,E14001493,34078.37212,25999.47101,0.5672369437,0.4327630563
South Suffolk,E14001494,29933,25309,0.5418522139,0.4581477861
South West Devon,E14001495,32082.88108,26579.01376,0.5469117758,0.4530882242
South West Hertfordshire,E14001496,28710.96387,27518.46506,0.5106038673,0.4893961327
South West Norfolk,E14001497,39202.97352,19751.3664,0.6649717998,0.3350282002
South West Wiltshire,E14001498,30964.95909,23059.12172,0.5731695686,0.4268304314
Southampton Itchen,E14001499,28940.92937,19734.10956,0.5945743445,0.4054256555
Southampton Test,E14001500,23707.26553,23516.01724,0.5020249364,0.4979750636
Southend East and Rochford,E14001501,28813.65869,19245.93899,0.599540156,0.400459844
Southend West and Leigh,E14001502,32942.43207,23716.20605,0.5814194122,0.4185805878
Southgate and Wood Green,E14001503,18187.68124,31655.41583,0.3648986983,0.6351013017
Southport,E14001504,23758.65543,24849.90702,0.4887751094,0.5112248906
Spelthorne,E14001505,34135,22474,0.60299599,0.39700401
Spen Valley,E14001506,30979.81096,20676.08552,0.5997342621,0.4002657379
St Albans,E14001507,20687.54204,35058.96121,0.3711002634,0.6288997366
St Austell and Newquay,E14001508,34930.33787,18986.90194,0.6478510026,0.3521489974
St Helens North,E14001509,29553.22619,21163.1197,0.5827159996,0.4172840004
St Helens South and Whiston,E14001510,27485.97539,20866.68153,0.5684480884,0.4315519116
St Ives,E14001511,30008.65162,24811.22291,0.5474046024,0.4525953976
St Neots and Mid Cambridgeshire,E14001512,25285.8324,30188.40133,0.4558121978,0.5441878022
Stafford,E14001513,29592.01342,22710.74314,0.5657830556,0.4342169444
Staffordshire Moorlands,E14001514,34802.74989,18884.42526,0.648250719,0.351749281
Stalybridge and Hyde,E14001515,27348.29887,19873.63095,0.5791440327,0.4208559673
Stevenage,E14001516,30057.48355,22539.38302,0.5714690914,0.4285309086
Stirling and Strathallan,S14000105,17420.85097,35982.51111,0.3262126259,0.6737873741
Stockport,E14001517,24893.01158,26743.56916,0.4820809438,0.5179190562
Stockton North,E14001518,31766.73849,16500.29618,0.6581456414,0.3418543586
Stockton West,E14001519,27388.22462,22601.36526,0.5478785621,0.4521214379
Stoke-on-Trent Central,E14001520,34609.15771,15904.92551,0.6851387871,0.3148612129
Stoke-on-Trent North,E14001521,34273.94065,13397.69344,0.718958796,0.281041204
Stoke-on-Trent South,E14001522,31271.13519,16632.70876,0.6527896847,0.3472103153
"Stone, Great Wyrley and Penkridge",E14001523,33728.46318,20053.93998,0.6271282278,0.3728717722
Stourbridge,E14001524,32248.58521,18403.01166,0.6366746006,0.3633253994
Stratford and Bow,E14001525,17150.94706,26407.26464,0.3937477318,0.6062522682
Stratford-on-Avon,E14001526,29174.59419,28375.3747,0.5069437004,0.4930562996
Streatham and Croydon North,E14001527,16879.50216,32613.1589,0.3410506084,0.6589493916
Stretford and Urmston,E14001528,23944.59817,24941.18211,0.4898070161,0.5101929839
Stroud,E14001529,27822.36572,30984.21039,0.4731165724,0.5268834276
Suffolk Coastal,E14001530,32013.25224,27679.23523,0.5363028682,0.4636971318
Sunderland Central,E14001531,30960.73091,21973.08277,0.5848951504,0.4151048496
Surrey Heath,E14001532,28667.3393,27570.60234,0.5097508632,0.4902491368
Sussex Weald,E14001533,29821.11484,25116.04306,0.5428223079,0.4571776921
Sutton Coldfield,E14001535,24986.64094,28793.37423,0.4646082911,0.5353917089
Sutton and Cheam,E14001534,27833.57623,25795.1622,0.5190048665,0.4809951335
Swansea West,W07000108,24090.20905,22058.65789,0.5220108455,0.4779891545
Swindon North,E14001536,29494.66954,21860.30083,0.5743294043,0.4256705957
Swindon South,E14001537,28107.28401,24844.60825,0.5308079241,0.4691920759
Tamworth,E14001538,36495.58357,19073.39264,0.6567618491,0.3432381509
Tatton,E14001539,25196.8971,32048.748,0.4401539551,0.5598460449
Taunton and Wellington,E14001540,30687.66596,26454.56958,0.5370399963,0.4629600037
Telford,E14001541,31120.9605,15846.41395,0.6626080522,0.3373919478
Tewkesbury,E14001542,30063.15623,26361.99854,0.532797054,0.467202946
The Wrekin,E14001543,33781.46906,22722.07277,0.5978646288,0.4021353712
Thirsk and Malton,E14001544,31811.55899,22934.04503,0.5810796969,0.4189203031
Thornbury and Yate,E14001545,30076.34123,28565.21913,0.5128843955,0.4871156045
Thurrock,E14001546,35816.90401,15591.8275,0.6967085738,0.3032914262
Tipton and Wednesbury,E14001547,35265.44365,14572.48845,0.7076024659,0.2923975341
Tiverton and Minehead,E14001548,30871.68661,23793.41427,0.5647421502,0.4352578498
Tonbridge,E14001549,30615.10521,27039.66244,0.5310073469,0.4689926531
Tooting,E14001550,13825.53278,40454.78969,0.2547061651,0.7452938349
Torbay,E14001551,33980.47927,20390.27207,0.6249771878,0.3750228122
Torfaen,W07000109,28781,19363,0.5978107345,0.4021892655
Torridge and Tavistock,E14001552,34425.34649,24484.62718,0.5843721248,0.4156278752
Tottenham,E14001553,14622.37613,28419.44073,0.3397248814,0.6602751186
Truro and Falmouth,E14001554,24462.86551,27697.81451,0.4689905404,0.5310094596
Tunbridge Wells,E14001555,26302.18677,32704.61456,0.4457483913,0.5542516087
Twickenham,E14001556,19069.35614,39958.0812,0.3230591907,0.6769408093
Tynemouth,E14001557,26429.69637,30176.99791,0.4669005443,0.5330994557
Uxbridge and South Ruislip,E14001558,30645.53743,22333.08765,0.5784509768,0.4215490232
Vale of Glamorgan,W07000110,26547.97177,23663.15296,0.5287268889,0.4712731111
Vauxhall and Camberwell Green,E14001559,9557.832348,29955.71737,0.2418874643,0.7581125357
Wakefield and Rothwell,E14001560,30270.05651,18760.34159,0.6173732558,0.3826267442
Wallasey,E14001561,25727.20336,22729.23989,0.5309346215,0.4690653785
Walsall and Bloxwich,E14001562,31901.84407,17213.10149,0.6495343466,0.3504656534
Walthamstow,E14001563,15777.6433,28115.38065,0.35945674,0.64054326
Warrington North,E14001564,30344.41682,22168.10198,0.5778511013,0.4221488987
Warrington South,E14001565,29085.75263,26099.61559,0.5270555143,0.4729444857
Warwick and Leamington,E14001566,22288.1852,30854.61692,0.4194017686,0.5805982314
Washington and Gateshead South,E14001567,26309.05899,15286.15664,0.632502046,0.367497954
Watford,E14001568,25969.36824,25493.97656,0.5046187406,0.4953812594
Waveney Valley,E14001569,32626.10691,26017.62772,0.5563442901,0.4436557099
Weald of Kent,E14001570,29859.65693,23444.15713,0.5601786187,0.4398213813
Wellingborough and Rushden,E14001571,34057.71122,18464.47776,0.6484442457,0.3515557543
Wells and Mendip Hills,E14001572,26029.40702,27707.75204,0.4843837574,0.5156162426
Welwyn Hatfield,E14001573,29105.08133,26067.91641,0.5275240158,0.4724759842
West Aberdeenshire and Kincardine,S14000058,20939.05185,32635.0676,0.3908426693,0.6091573307
West Bromwich,E14001574,33235.15701,15756.267,0.6783872418,0.3216127582
West Dorset,E14001575,29696.59728,29465.00252,0.5019573064,0.4980426936
West Dunbartonshire,S14000106,17149.71017,27463.61219,0.384407824,0.615592176
West Ham and Beckton,E14001576,22139.67198,20435.27873,0.5200163855,0.4799836145
West Lancashire,E14001577,29553.26184,24535.25883,0.5463869501,0.4536130499
West Suffolk,E14001578,35306.31117,20701.48158,0.6303821208,0.3696178792
West Worcestershire,E14001579,31657.88639,28565.24334,0.5256765387,0.4743234613
Westmorland and Lonsdale,E14001580,27611.85236,28920.81253,0.4884229748,0.5115770252
Weston-super-Mare,E14001581,29592.70273,19961.55796,0.5971777668,0.4028222332
Wetherby and Easingwold,E14001582,26246.56599,28396.37396,0.4803285844,0.5196714156
Whitehaven and Workington,E14001583,32289.57211,18849.31198,0.6314093999,0.3685906001
Widnes and Halewood,E14001584,24850.13803,20873.42295,0.543486498,0.456513502
Wigan,E14001585,31638.15216,19716.87647,0.6160672675,0.3839327325
Wimbledon,E14001586,17594.95211,42406.20438,0.2932435497,0.7067564503
Winchester,E14001587,24477.43656,37218.65435,0.3967420983,0.6032579017
Windsor,E14001588,26705.9063,28205.75851,0.4863430455,0.5136569545
Wirral West,E14001589,23016.39767,34781.705,0.3982206441,0.6017793559
Witham,E14001590,34982.79577,22978.54522,0.6035539407,0.3964460593
Witney,E14001591,25140.36411,28361.41035,0.4698977625,0.5301022375
Woking,E14001592,24214,31007,0.4384926025,0.5615073975
Wokingham,E14001593,23288.16085,33583.16233,0.4094886411,0.5905113589
Wolverhampton North East,E14001594,33339.58209,14492.57105,0.697011945,0.302988055
Wolverhampton South East,E14001595,34097.6265,14707.18656,0.6986529475,0.3013470525
Wolverhampton West,E14001596,30434.5848,24255.42189,0.5564926143,0.4435073857
Worcester,E14001597,29114,25125,0.5367724331,0.4632275669
Worsley and Eccles,E14001598,29360.56212,19612.68855,0.5995224275,0.4004775725
Worthing West,E14001599,31056.17028,25649.99885,0.547668283,0.452331717
Wrexham,W07000111,29828.75451,22321.27982,0.5719795758,0.4280204242
Wycombe,E14001600,23007.97096,24769.87796,0.4815614659,0.5184385341
Wyre Forest,E14001601,36392,21240,0.6314547474,0.3685452526
Wythenshawe and Sale East,E14001602,24200.25378,26551.90406,0.4768320169,0.5231679831
Yeovil,E14001603,35721.19811,24229.29886,0.595844904,0.404155096
Ynys Mon,W07000112,19333,18618,0.5094200416,0.4905799584
York Central,E14001604,20369.30136,31631.36574,0.3917123087,0.6082876913
York Outer,E14001605,25613.69864,31985.63426,0.4446874182,0.5553125818