Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,total_votes,majority,maj+pc,Win19,Second19,con_pc,lab_pc,ld_pc,green_pc,bxp_pc,snp_pc,plaid_pc,other_pc
Aberafan Maesteg,Aberafan Maesteg,W07000081,1,WA,Wales,County,69.2,63.6,69817,44423,13457,30.29,Lab,Con,22.63,52.92,3.7,1.58,8.54,0,8.98,1.65
Aberdeen North,Aberdeen North,S14000060,2,SC,Scotland,Borough,61.3,65.2,76895,50127,14210,28.35,SNP,Con,24.55,11.98,7.73,1.22,1.62,52.9,0,0
Aberdeen South,Aberdeen South,S14000061,3,SC,Scotland,Borough,21.1,65.5,76560,50118,5463,10.9,SNP,Con,34.36,8.77,10.69,0.53,0.39,45.26,0,0
Aberdeenshire North and Moray East,Aberdeenshire North & Moray East,S14000062,4,SC,Scotland,County,48.9,64.2,71485,45891,2399,5.23,Con,SNP,48.32,4.17,4.42,0,0,43.09,0,0
West Aberdeenshire and Kincardine,Aberdeenshire West & Kincardine,S14000058,5,SC,Scotland,County,none,72.4,73634,53345,843,1.58,Con,SNP,42.65,4.56,11.72,0,0,41.07,0,0
Airdrie and Shotts,Airdrie & Shotts,S14000063,6,SC,Scotland,County,10.8,65.8,70420,46338,5324,11.49,SNP,Lab,17.26,33.11,3.57,1.46,0,44.6,0,0
Aldershot,Aldershot,E14001063,7,SE,England,Borough,6.6,67.5,76765,51828,17985,34.7,Con,Lab,56.83,22.13,17.5,3.55,0,0,0,0
Aldridge-Brownhills,Aldridge-Brownhills,E14001064,8,WM,England,Borough,20.7,64.7,73122,47321,22758,48.09,Con,Lab,69.61,21.52,5.61,1.84,0.71,0,0,0.71
Alloa and Grangemouth,Alloa & Grangemouth,S14000064,9,SC,Scotland,County,99.7,63.2,72265,45658,12727,27.87,SNP,Con,24.8,14.5,5.31,1.48,0.39,52.67,0,0.84
Altrincham and Sale West,Altrincham & Sale West,E14001065,10,NW,England,Borough,none,74.1,73934,54763,6139,11.21,Con,Lab,48.05,36.84,11.02,2.86,0,0,0,1.24
Alyn and Deeside,Alyn & Deeside,W07000082,11,WA,Wales,County,20.1,69.2,75695,52350,411,0.79,Lab,Con,41.95,42.74,5.91,0,5.99,0,3.4,0
Amber Valley,Amber Valley,E14001066,12,EM,England,County,0.1,64.6,70625,45609,16891,37.03,Con,Lab,63.84,26.81,6.3,3.05,0,0,0,0
Angus and Perthshire Glens,Angus & Perthshire Glens,S14000065,13,SC,Scotland,County,91.6,73.4,77006,56547,6005,10.62,SNP,Con,39.8,4.25,4.96,0,0.58,50.42,0,0
East Antrim,Antrim East,N05000005,14,NI,Northern Ireland,County,13.7,57.4,69936,40156,6395,15.93,DUP,All,2.51,,,1.71,,,,0
North Antrim,Antrim North,N05000012,15,NI,Northern Ireland,County,11.4,57.1,71165,40622,13765,33.89,DUP,UUP,0.04,,,0,,,,0.61
South Antrim,Antrim South,N05000014,16,NI,Northern Ireland,County,5.7,59.6,71646,42668,3036,7.12,DUP,UUP,0.04,,,0,,,,0.03
Arbroath and Broughty Ferry,Arbroath & Broughty Ferry,S14000066,17,SC,Scotland,County,56.8,67.9,76810,52124,10777,20.68,SNP,Con,30.26,10.21,8,0,0,50.94,0,0.6
"Argyll, Bute and South Lochaber","Argyll, Bute & South Lochaber",S14000067,18,SC,Scotland,County,6.1,70.7,71707,50727,4897,9.65,SNP,Con,34.51,7.08,14.14,0,0.11,44.16,0,0
Arundel and South Downs,Arundel & South Downs,E14001067,19,SE,England,County,57.8,75.5,76974,58105,24105,41.49,Con,LD,60.44,15.68,18.95,3.98,0,0,0,0.96
Ashfield,Ashfield,E14001068,20,EM,England,County,18,61.5,69819,42949,5303,12.35,Con,Other,39.2,25.58,2.07,1.31,4.98,0,0,26.86
Ashford,Ashford,E14001069,21,SE,England,County,54.7,66.1,73546,48579,17211,35.43,Con,Lab,59.2,23.77,10.65,4.6,0,0,0,1.77
Ashton-under-Lyne,Ashton-under-Lyne,E14001070,22,NW,England,Borough,50.9,57.2,72278,41377,4689,11.33,Lab,Con,36.2,47.53,4.29,3.48,8.5,0,0,0
Aylesbury,Aylesbury,E14001071,23,SE,England,County,54.3,76.5,75636,57888,16640,28.75,Con,Lab,51.69,22.95,21.89,2.94,0.53,0,0,0
"Ayr, Carrick and Cumnock","Ayr, Carrick & Cumnock",S14000006,24,SC,Scotland,County,none,64.7,72057,46592,2329,5,SNP,Con,38.51,13.35,4.63,0,0,43.51,0,0
Central Ayrshire,Ayrshire Central,S14000010,25,SC,Scotland,County,none,66.7,69779,46534,5304,11.4,SNP,Con,34.77,14.15,4.91,0,0,46.17,0,0
North Ayrshire and Arran,Ayrshire North & Arran,S14000048,26,SC,Scotland,County,none,65.4,73588,48154,8521,17.7,SNP,Con,30.85,13.92,4.38,2.31,0,48.54,0,0
Banbury,Banbury,E14001072,27,SE,England,County,55.2,72.6,69943,50810,13799,27.16,Con,Lab,51.95,24.79,20.34,2.91,0,0,0,0
Bangor Aberconwy,Bangor Aberconwy,W07000083,28,WA,Wales,County,57.1,68.7,70468,48407,749,1.55,Con,Lab,39.98,38.44,4.42,0,0.94,0,16.21,0
Barking,Barking,E14001073,29,GL,England,Borough,8.7,57.1,71822,41019,13993,34.11,Lab,Con,26.82,60.94,3.31,1.83,7.1,0,0,0
Barnsley North,Barnsley North,E14001074,30,YH,England,County,38.6,57.9,76794,44480,4002,8.9973,Lab,Brexit,23.97,38.54,3.57,2.36,29.54,0,0,2.02
Barnsley South,Barnsley South,E14001075,31,YH,England,County,61.4,49.4,75896,"37,508","4,720",12.584,Lab,Brexit,22.65,41.82,3.5,2.06,29.23,0,0,0.74
Barrow and Furness,Barrow & Furness,E14001076,32,NW,England,County,11.5,65.3,76603,50047,7436,14.86,Con,Lab,53.05,38.19,4.51,1.54,2.71,0,0,0
Basildon and Billericay,Basildon & Billericay,E14001077,33,EE,England,Borough,9.7,60.9,76993,46853,20749,44.29,Con,Lab,65.88,21.6,8.42,2.98,0,0,0,1.12
South Basildon and East Thurrock,Basildon South & East Thurrock,E14001480,34,EE,England,County,20.7,61,73322,44729,18731,41.88,Con,Lab,65.44,23.56,4.1,0.15,0,0,0,6.74
Basingstoke,Basingstoke,E14001078,35,SE,England,Borough,21.1,66.4,77050,51181,12301,24.03,Con,Lab,52.69,28.65,13.28,3.92,0,0,0,1.46
Bassetlaw,Bassetlaw,E14001079,36,EM,England,County,4.3,62.9,75773,47677,12588,26.4,Con,Lab,54.41,28.01,6.73,0,10.85,0,0,0
Bath,Bath,E14001080,37,SW,England,County,8.5,77.7,73241,56876,12125,21.32,LD,Con,32.09,12.52,53.41,0.26,1.13,0,0,0.6
Bathgate and Linlithgow,Bathgate & Linlithgow,S14000068,38,SC,Scotland,County,37.3,65.9,71650,47217,8671,18.36,SNP,Con,24.64,18.79,8.22,2.18,1.91,43.01,0,1.25
Battersea,Battersea,E14001081,39,GL,England,Borough,9.3,76.3,71949,54918,6026,10.97,Lab,Con,35.38,46.35,15.14,2.48,0.64,0,0,0
Beaconsfield,Beaconsfield,E14001082,40,SE,England,County,7.9,72.8,72315,52633,13772,26.17,Con,Other,55.5,9.9,0,3.68,0,0,0,30.92
Beckenham and Penge,Beckenham & Penge,E14001083,41,GL,England,Borough,84,78.5,76625,60142,631,1.05,Lab,Con,39.05,40.1,16.06,4.02,0.77,0,0,0
Bedford,Bedford,E14001084,42,EE,England,Borough,3.3,66.5,70068,46603,1113,2.39,Lab,Con,41.95,44.34,10.03,1.98,1.7,0,0,0
Mid Bedfordshire,Bedfordshire Mid,E14001359,43,EE,England,County,19.3,71.5,71748,51325,20509,39.96,Con,Lab,60.47,20.51,12.51,3.89,0,0,0,2.63
North Bedfordshire,Bedfordshire North,E14001384,44,EE,England,County,28.2,73.6,76319,"56,202","23,631",42.05,Con,Lab,61.14,19.09,13.17,2.82,0.18,0,0,3.6
Belfast East,Belfast East,N05000001,45,NI,Northern Ireland,Borough,14.8,64.4,70076,45126,2626,5.82,DUP,All,0,,,0,,,,0
Belfast North,Belfast North,N05000002,46,NI,Northern Ireland,Borough,14.4,67.4,71372,48140,3739,7.77,SF,DUP,0.01,,,0,,,,0.12
Belfast South and Mid Down,Belfast South & Mid Down,N05000003,47,NI,Northern Ireland,Borough,22.3,66.2,71978,47669,13322,27.95,SDLP,DUP,0.35,,,0.15,,,,1.19
Belfast West,Belfast West,N05000004,48,NI,Northern Ireland,Borough,17.5,59.6,71921,42899,12997,30.3,SF,DUP,0.1,,,0,,,,14.12
Bermondsey and Old Southwark,Bermondsey & Old Southwark,E14001085,49,GL,England,Borough,25.3,65,70602,45885,8515,18.56,Lab,LD,16.8,49.64,31.08,0.05,2.43,0,0,0
"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh & Selkirk",S14000008,50,SC,Scotland,County,none,71.2,74687,53146,5148,9.69,Con,SNP,48.45,4.73,8.07,0,0,38.76,0,0
Bethnal Green and Stepney,Bethnal Green & Stepney,E14001086,51,GL,England,Borough,35.8,64.9,77000,49951,31655,63.37,Lab,Con,10.14,73.51,9.28,4.21,1.99,0,0,0.88
Beverley and Holderness,Beverley & Holderness,E14001087,52,YH,England,County,10.6,69.6,71102,49483,17976,36.33,Con,Lab,60.99,24.66,9.25,2.49,0,0,0,2.6
Bexhill and Battle,Bexhill & Battle,E14001088,53,SE,England,County,26.1,70.2,70869,49737,20384,40.98,Con,Lab,61.76,20.77,13.39,4.08,0,0,0,0
Bexleyheath and Crayford,Bexleyheath & Crayford,E14001089,54,GL,England,Borough,33.1,67.6,69948,47300,15038,31.79,Con,Lab,60.78,28.99,5.99,2.26,0.88,0,0,1.1
Bicester and Woodstock,Bicester & Woodstock,E14001090,55,SE,England,County,99.7,73.9,70389,51991,14205,27.32,Con,LD,53.91,16.85,26.59,2.36,0.29,0,0,0
Birkenhead,Birkenhead,E14001091,56,NW,England,Borough,18.7,67.9,76271,51762,22993,44.42,Lab,Con,15.58,60,3.98,3,3.37,0,0,14.07
Birmingham Edgbaston,Birmingham Edgbaston,E14001092,57,WM,England,Borough,13.6,63.9,71354,45599,7691,16.87,Lab,Con,35.45,52.32,7.25,2.57,2.4,0,0,0
Birmingham Erdington,Birmingham Erdington,E14001093,58,WM,England,Borough,18.4,54,76856,41499,3305,7.96,Lab,Con,41.48,49.44,3.25,1.8,4.03,0,0,0
Birmingham Hall Green and Moseley,Birmingham Hall Green & Moseley,E14001094,59,WM,England,Borough,15.8,68.3,75781,51739,26507,51.23,Lab,Con,15.02,66.25,7.16,1.68,1.93,0,0,7.96
Birmingham Hodge Hill and Solihull North,Birmingham Hodge Hill & Solihull North,E14001095,60,WM,England,Borough,73.6,53.7,76922,41294,12951,31.36,Lab,Con,28.56,59.92,4.33,3.49,3.08,0,0,0.62
Birmingham Ladywood,Birmingham Ladywood,E14001096,61,WM,England,Borough,64.6,58.2,76585,44535,32583,73.16,Lab,Con,9.84,83,2.77,1.85,2.2,0,0,0.35
Birmingham Northfield,Birmingham Northfield,E14001097,62,WM,England,Borough,3,59.5,73483,43692,1478,3.38,Con,Lab,46.08,42.7,4.61,2.22,3.8,0,0,0.58
Birmingham Perry Barr,Birmingham Perry Barr,E14001098,63,WM,England,Borough,37.9,63.4,74048,46915,22325,47.59,Lab,Con,20.42,68.01,6.53,1.88,2.84,0,0,0.32
Birmingham Selly Oak,Birmingham Selly Oak,E14001099,64,WM,England,Borough,5.8,63.4,76285,48347,11645,24.09,Lab,Con,31.63,55.71,6.24,3.69,2.73,0,0,0
Birmingham Yardley,Birmingham Yardley,E14001100,65,WM,England,Borough,32,58.3,71912,41906,13141,31.36,Lab,Con,26.75,58.1,8.93,1.2,5.02,0,0,0
Bishop Auckland,Bishop Auckland,E14001101,66,NE,England,County,52.9,69.9,70879,49511,8113,16.39,Con,Lab,53,36.61,3.6,0.61,5.53,0,0,0.66
Blackburn,Blackburn,E14001102,67,NW,England,Borough,3.1,61.8,70586,43645,18616,42.65,Lab,Con,23.33,65.98,2.42,1.6,5.93,0,0,0.73
Blackley and Middleton South,Blackley & Middleton South,E14001103,68,NW,England,Borough,75.7,52.6,71375,37548,11558,30.78,Lab,Con,28.23,59.01,3.01,2.03,7.72,0,0,0
Blackpool North and Fleetwood,Blackpool North & Fleetwood,E14001104,69,NW,England,Borough,80.1,66.4,75396,50048,10119,20.22,Con,Lab,55.84,35.62,4.04,1.91,1.71,0,0,0.89
Blackpool South,Blackpool South,E14001105,70,NW,England,Borough,33.7,55.8,76071,42414,3700,8.72,Con,Lab,48.84,40.12,3.53,1.91,4.74,0,0,0.87
Blaenau Gwent and Rhymney,Blaenau Gwent & Rhymney,W07000084,71,WA,Wales,County,39.6,59.2,71079,42094,12969,30.81,Lab,Con,19.59,50.4,3.74,0.99,17.99,0,6.38,0.9
Blaydon and Consett,Blaydon & Consett,E14001106,72,NE,England,County,99.2,66.9,70163,46965,4285,9.12,Lab,Con,34.86,43.98,4.57,3.03,9.7,0,0,3.87
Blyth and Ashington,Blyth & Ashington,E14001107,73,NE,England,County,72.1,57,75452,42990,6118,14.23,Lab,Con,33.45,47.69,6.42,2.9,9.12,0,0,0.41
Bognor Regis and Littlehampton,Bognor Regis & Littlehampton,E14001108,74,SE,England,Borough,29.8,68.2,76985,52510,22682,43.2,Con,Lab,62.17,18.97,13.29,3.26,0,0,0,2.31
Bolsover,Bolsover,E14001109,75,EM,England,County,0.8,61.2,74680,45676,5273,11.54,Con,Lab,47.71,36.17,3.81,1.57,8.58,0,0,2.16
Bolton North East,Bolton North East,E14001110,76,NW,England,Borough,14.4,64.7,77020,49844,1278,2.56,Con,Lab,45.01,42.45,4.39,1.61,6.54,0,0,0
Bolton South and Walkden,Bolton South & Walkden,E14001111,77,NW,England,Borough,66.5,58.1,75716,43984,10929,24.85,Lab,Con,31.74,56.59,3.85,2.45,5.37,0,0,0
Bolton West,Bolton West,E14001112,78,NW,England,County,28.6,69.1,72125,49868,10619,21.29,Con,Lab,56.54,35.25,5.64,1.79,0.77,0,0,0
Bootle,Bootle,E14001113,79,NW,England,Borough,none,65.4,75194,49174,34556,70.27,Lab,Con,9.17,79.44,3.71,2.37,5.31,0,0,0
Boston and Skegness,Boston & Skegness,E14001114,80,EM,England,County,9.2,59.4,75806,45018,27402,60.87,Con,Lab,76.43,15.56,4.84,0,0,0,0,3.17
Bournemouth East,Bournemouth East,E14001115,81,SW,England,Borough,0.1,67.4,73173,49328,8817,17.87,Con,Lab,50.59,32.72,10.98,4.16,0,0,0,1.54
Bournemouth West,Bournemouth West,E14001116,82,SW,England,Borough,7.6,63.5,72094,45752,9941,21.73,Con,Lab,53.58,31.85,10.06,4.52,0,0,0,0
Bracknell,Bracknell,E14001117,83,SE,England,Borough,26.4,66.7,70247,46888,14129,30.13,Con,Lab,55.5,25.36,13.98,3.98,0,0,0,1.18
Bradford East,Bradford East,E14001118,84,YH,England,Borough,2.1,59.6,72150,43036,17761,41.27,Lab,Con,21.71,62.98,7.67,1.48,6.15,0,0,0
Bradford South,Bradford South,E14001119,85,YH,England,Borough,2.3,57.7,70890,40889,2729,6.67,Lab,Con,40.06,46.74,3.71,2.46,7.02,0,0,0
Bradford West,Bradford West,E14001120,86,YH,England,Borough,none,62.1,71258,44261,27019,61.04,Lab,Con,15.18,76.22,3.05,1.84,3.52,0,0,0.2
Braintree,Braintree,E14001121,87,EE,England,County,18.2,68.3,75662,51675,25466,49.28,Con,Lab,67.47,18.18,9.7,0.45,0,0,0,4.2
"Brecon, Radnor and Cwm Tawe","Brecon, Radnor & Cwm Tawe",W07000085,88,WA,Wales,County,33.9,72.5,72113,52276,9091,17.39,Con,LD,46.61,17.53,29.22,0.42,1.84,0,3.24,1.13
Brent East,Brent East,E14001122,89,GL,England,Borough,53.7,58,75880,44017,17756,40.34,Lab,Con,23.5,63.84,9.02,3.24,0.4,0,0,0
Brent West,Brent West,E14001123,90,GL,England,Borough,44.7,63.3,76463,48407,9431,19.48,Lab,Con,33.8,53.28,9.11,1.71,1.55,0,0,0.56
Brentford and Isleworth,Brentford & Isleworth,E14001124,91,GL,England,Borough,44.6,67.6,76354,51615,11369,22.03,Lab,Con,28.3,50.33,16.32,2.98,2.06,0,0,0
Brentwood and Ongar,Brentwood & Ongar,E14001125,92,EE,England,County,0.2,70.5,74937,52816,28974,54.86,Con,Lab,68.54,13.69,13.59,3.17,0,0,0,1.01
Bridgend,Bridgend,W07000086,93,WA,Wales,County,46.2,66,70770,46708,2553,5.47,Con,Lab,43.96,38.49,5.25,1.86,5.22,0,5.23,0
Bridgwater,Bridgwater,E14001126,94,SW,England,County,60.5,63,71418,45004,16724,37.16,Con,Lab,57.9,20.74,17.63,2.06,0,0,0,1.68
Bridlington and the Wolds,Bridlington & the Wolds,E14001127,95,YH,England,County,31.1,64.1,72501,46440,21685,46.69,Con,Lab,66.57,19.88,7.49,2.85,0,0,0,3.21
Brigg and Immingham,Brigg & Immingham,E14001128,96,YH,England,County,65.8,66,71628,47245,24444,51.74,Con,Lab,71.94,20.2,4.38,2.78,0.7,0,0,0
Brighton Kemptown and Peacehaven,Brighton Kemptown & Peacehaven,E14001129,97,SE,England,Borough,1.6,70.8,69865,49430,8280,16.75,Lab,Con,34.43,51.18,6,5.69,2.7,0,0,0
Brighton Pavilion,Brighton Pavilion,E14001130,98,SE,England,Borough,1.5,75.4,75722,57101,19630,34.38,Green,Lab,17.74,22.67,0,57.05,1.33,0,0,1.21
Bristol Central,Bristol Central,E14001131,99,SW,England,Borough,29.7,73.2,70227,51427,16696,32.47,Lab,Green,14.34,58.48,0,26.02,1.15,0,0,0
Bristol East,Bristol East,E14001132,100,SW,England,Borough,79.7,72.8,75936,55286,19393,35.08,Lab,Con,23.31,58.39,6.95,8.44,2.92,0,0,0
Bristol North East,Bristol North East,E14001133,101,SW,England,Borough,116.4,70.1,69793,48905,5464,11.17,Lab,Con,39.12,50.3,5.1,3.98,1.49,0,0,0
Bristol North West,Bristol North West,E14001134,102,SW,England,Borough,23.7,76.1,76783,58405,7235,12.39,Lab,Con,36.49,48.88,8.11,6.38,0.14,0,0,0
Bristol South,Bristol South,E14001135,103,SW,England,Borough,11.7,64.6,74696,48268,9077,18.81,Lab,Con,32.82,51.62,6.24,5.07,4.26,0,0,0
Broadland and Fakenham,Broadland & Fakenham,E14001136,104,EE,England,County,6.7,72.4,72907,52814,19825,37.54,Con,Lab,59.15,21.61,16.06,2.5,0,0,0,0.69
Bromley and Biggin Hill,Bromley & Biggin Hill,E14001137,105,GL,England,Borough,98.3,69.7,70418,49058,14380,29.31,Con,Lab,54.45,25.13,15.98,3.68,0,0,0,0.76
Bromsgrove,Bromsgrove,E14001138,106,WM,England,Borough,none,72.1,75305,54272,23106,42.57,Con,Lab,63.4,20.82,12.49,3.29,0,0,0,0
Broxbourne,Broxbourne,E14001139,107,EE,England,County,15.3,63.2,75454,47675,19192,40.26,Con,Lab,64.24,23.99,9,2.77,0,0,0,0
Broxtowe,Broxtowe,E14001140,108,EM,England,County,33,73.6,72461,53321,3819,7.16,Con,Lab,45.17,38,0.51,3.01,0.68,0,0,12.63
Buckingham and Bletchley,Buckingham & Bletchley,E14001141,109,SE,England,County,91.5,71.4,73644,52609,13345,25.37,Con,Lab,53.06,27.69,15.43,1.2,0.97,0,0,1.66
Mid Buckinghamshire,Buckinghamshire Mid,E14001360,110,SE,England,County,114.3,75.1,72240,54223,22648,41.77,Con,LD,61.45,15.28,19.68,2.72,0.86,0,0,0
Burnley,Burnley,E14001142,111,NW,England,County,16.1,62.4,75436,47102,127,0.27,Con,Lab,40.46,40.19,7.67,1.8,7.14,0,0,2.75
Burton and Uttoxeter,Burton & Uttoxeter,E14001143,112,WM,England,Borough,none,64.6,75460,48738,14496,29.74,Con,Lab,60.65,30.91,5.5,2.94,0,0,0,0
Bury North,Bury North,E14001144,113,NW,England,Borough,12.6,69.4,77009,53470,1282,2.4,Con,Lab,47.29,44.89,3.07,1.76,2.7,0,0,0.3
Bury South,Bury South,E14001145,114,NW,England,Borough,23.2,66.5,74598,49634,935,1.88,Con,Lab,43.47,41.58,6.16,1.81,3.72,0,0,3.25
Bury St Edmunds and Stowmarket,Bury St Edmunds & Stowmarket,E14001146,115,EE,England,County,33.2,69.4,75655,52481,22085,42.08,Con,Lab,62.92,20.84,1.08,12.42,0,0,0,2.73
Caerfyrddin,Caerfyrddin,W07000087,116,WA,Wales,County,57.6,73.4,72683,53342,4529,8.49,Con,PC,39.16,25.08,1.29,0,3.79,0,30.67,0
Caerphilly,Caerphilly,W07000088,117,WA,Wales,County,30.8,62.2,72458,45069,6901,15.31,Lab,Con,28.58,43.89,0.72,0.36,11.73,0,14.71,0
"Caithness, Sutherland and Easter Ross","Caithness, Sutherland & Easter Ross",S14000069,118,SC,Scotland,County,60.2,70.1,75173,52720,2788,5.29,SNP,LD,17.33,5.31,33.59,0.64,2.86,38.88,0,1.38
Calder Valley,Calder Valley,E14001147,119,YH,England,County,3.6,74.3,75987,56454,5107,9.05,Con,Lab,51.35,42.31,5.06,0,0,0,0,1.28
Camborne and Redruth,Camborne & Redruth,E14001148,120,SW,England,County,19.6,70.1,73568,51581,9848,19.09,Con,Lab,53.26,34.17,8.47,2.79,0,0,0,1.31
Cambridge,Cambridge,E14001149,121,EE,England,Borough,7.6,68.6,72560,49740,8099,16.28,Lab,LD,14.76,47.45,31.16,4.16,1.93,0,0,0.54
North East Cambridgeshire,Cambridgeshire North East,E14001390,122,EE,England,County,15.7,63,70806,44584,25779,57.82,Con,Lab,73.87,16.05,6.71,3.37,0,0,0,0
North West Cambridgeshire,Cambridgeshire North West,E14001401,123,EE,England,County,25.1,63.9,73556,47032,17032,36.21,Con,Lab,59.96,23.75,11,5.24,0.05,0,0,0
South Cambridgeshire,Cambridgeshire South,E14001481,124,EE,England,County,62.2,79.6,75484,60078,1498,2.49,Con,LD,43.53,15.13,41.04,0.16,0.14,0,0,0
Cannock Chase,Cannock Chase,E14001150,125,WM,England,Borough,none,61.3,75582,46313,19879,42.92,Con,Lab,68.31,25.39,0,6.3,0,0,0,0
Canterbury,Canterbury,E14001151,126,SE,England,County,5.7,75.7,75499,57166,2160,3.78,Lab,Con,44.82,48.6,5.7,0,0,0,0,0.88
Cardiff East,Cardiff East,W07000089,127,WA,Wales,Borough,63.9,64.6,72463,"46,781","17,079",36.51,Lab,Con,22.7143,59.22,12.3,0.64,3.46,0,0.63,1.04
Cardiff North,Cardiff North,W07000090,128,WA,Wales,Borough,4.3,76.9,71143,54709,7579,13.85,Lab,Con,35.74,49.59,6.55,1.5,2.65,0,3.45,0.53
