Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,total_votes,majority,maj+pc,Win19,Second19,con_pc,lab_pc,ld_pc,green_pc,bxp_pc,snp_pc,plaid_pc,other_pc
Macclesfield,Macclesfield,E14001347,388,NW,England,County,none,71,75881,53867,10711,19.88,Con,Lab,52.52,32.64,10.55,4.29,0,0,0,0
Maidenhead,Maidenhead,E14001348,389,SE,England,County,46.8,69.3,73463,50914,17101,33.59,Con,LD,57.4,15.03,23.81,3.77,0,0,0,0
Maidstone and Malling,Maidstone & Malling,E14001349,390,SE,England,County,66.7,66.9,73084,48907,19448,39.77,Con,LD,58.4,18.39,18.64,3.84,0,0,0,0.73
Makerfield,Makerfield,E14001350,391,NW,England,Borough,2.8,59,76517,45138,4955,10.98,Lab,Con,34.29,45.27,4.79,2.58,13.08,0,0,0
Maldon,Maldon,E14001351,392,EE,England,County,6,69.9,76794,53704,32001,59.59,Con,Lab,72.23,12.64,11.68,3.45,0,0,0,0
Manchester Central,Manchester Central,E14001352,393,NW,England,Borough,78.7,53.8,75311,40480,17970,44.39,Lab,Con,21,65.39,6.05,2.86,4.43,0,0,0.26
Manchester Rusholme,Manchester Rusholme,E14001353,394,NW,England,Borough,98.2,56.8,70692,40149,27901,69.49,Lab,Con,9.1,78.59,4.02,4.26,4.04,0,0,0
Manchester Withington,Manchester Withington,E14001354,395,NW,England,Borough,16.5,69.5,71614,49794,25297,50.8,Lab,LD,11.26,66.47,15.67,4.05,2.55,0,0,0
Mansfield,Mansfield,E14001355,396,EM,England,County,3.5,63.9,74680,47745,16247,34.03,Con,Lab,64.34,30.31,3.29,0,0,0,0,2.06
Melksham and Devizes,Melksham & Devizes,E14001356,397,SW,England,County,99.4,77.6,71823,55764,17028,30.54,Con,LD,57.79,11.99,27.26,2.96,0,0,0,0
Melton and Syston,Melton & Syston,E14001357,398,EM,England,County,91.5,66.7,71615,"47,792","19,004",39.76,Con,Lab,63.26,23.49,7.71,5.54,0,0,0,0
Meriden and Solihull East,Meriden & Solihull East,E14001358,399,WM,England,Borough,56.8,64.8,75309,48778,20270,41.56,Con,Lab,62.4,20.85,13.56,3.2,0,0,0,0
Merthyr Tydfil and Aberdare,Merthyr Tydfil & Aberdare,W07000099,400,WA,Wales,County,72.9,57.6,74805,43106,13410,31.11,Lab,Con,20.61,51.71,3.33,0,10.72,0,8.15,5.48
Middlesbrough and Thornaby East,Middlesbrough & Thornaby East,E14001367,401,NE,England,Borough,28.1,52.4,71742,37589,11141,29.64,Lab,Con,24.34,53.98,2.64,1.47,6.18,0,0,11.39
Middlesbrough South and East Cleveland,Middlesbrough South & East Cleveland,E14001368,402,NE,England,County,14.1,64.3,69967,45023,10299,22.87,Con,Lab,57.86,34.98,4.05,2.23,0.28,0,0,0.59
Midlothian,Midlothian,S14000045,403,SC,Scotland,County,none,67.7,71210,48221,5705,11.83,SNP,Lab,21.71,29.71,7.04,0,0,41.54,0,0
Milton Keynes Central,Milton Keynes Central,E14001369,404,SE,England,Borough,92.3,68.6,76708,52650,4952,9.41,Con,Lab,47.55,38.14,10.43,2.46,0,0,0,1.42
Milton Keynes North,Milton Keynes North,E14001370,405,SE,England,County,52.5,68.4,70620,48284,6327,13.1,Con,Lab,51.64,38.53,6.72,3.1,0,0,0,0
Mitcham and Morden,Mitcham & Morden,E14001371,406,GL,England,Borough,9.8,67.2,76877,51633,15879,30.75,Lab,Con,26.71,57.47,10.83,2.25,2.33,0,0,0.42
Monmouthshire,Monmouthshire,W07000101,407,WA,Wales,County,32,72.7,72681,52872,10837,20.5,Con,Lab,52.14,31.64,9.59,2.52,0.85,0,2.43,0.82
Montgomeryshire and Glyndwr,Montgomeryshire & Glyndwr,W07000102,408,WA,Wales,County,51.2,69,74223,51208,14765,28.83,Con,Lab,53.64,24.8,16.78,0,1.37,0,1.99,1.42
"Moray West, Nairn and Strathspey","Moray West, Nairn & Strathspey",S14000098,409,SC,Scotland,County,58.5,73.8,76237,56272,2906,5.16,SNP,Con,40.94,4.63,5.88,1.15,0.57,46.1,0,0.73
Morecambe and Lunesdale,Morecambe & Lunesdale,E14001372,410,NW,England,County,42.3,73.2,76040,55652,14188,25.49,Con,Lab,53.61,28.11,15.61,1.27,0.42,0,0,0.98
"Motherwell, Wishaw and Carluke","Motherwell, Wishaw & Carluke",S14000099,411,SC,Scotland,County,46.7,62.1,72318,44919,8294,18.46,SNP,Lab,21.23,27.48,3.96,0,0,45.94,0,1.38
Na h-Eileanan an Iar,Na h-Eileanan an Iar,S14000027,412,SC,Scotland,County,none,68.4,21177,14477,2438,16.84,SNP,Lab,22.21,28.27,4.4,0,0,45.11,0,0
Neath and Swansea East,Neath & Swansea East,W07000103,413,WA,Wales,County,95.7,60,74705,"44,824","8,451",18.85,Lab,Con,28.22,47.08,4.13,1.73,8.85,0,8.52,1.47
New Forest East,New Forest East,E14001373,414,SE,England,County,none,68.8,73823,50786,25251,49.72,Con,Lab,64.52,14.8,14.55,4.79,0,0,0,1.33
New Forest West,New Forest West,E14001374,415,SE,England,County,none,70.8,71009,50306,24403,48.51,Con,LD,63.84,13.11,15.33,7.73,0,0,0,0
Newark,Newark,E14001375,416,EM,England,County,13.5,72.4,76478,55387,21697,39.17,Con,Lab,63.07,23.9,9.57,3.11,0.35,0,0,0
Newbury,Newbury,E14001376,417,SE,England,County,14.4,71.2,71631,50971,11460,22.48,Con,LD,55.08,7.71,32.6,3.98,0,0,0,0.64
Newcastle-under-Lyme,Newcastle-under-Lyme,E14001380,418,WM,England,Borough,5.1,67.6,70025,47363,8265,17.45,Con,Lab,52.8,35.35,5.64,2.16,4.06,0,0,0
Newcastle upon Tyne Central and West,Newcastle upon Tyne Central & West,E14001377,419,NE,England,Borough,74.7,63,76460,48135,15731,32.68,Lab,Con,26.57,59.25,2.97,3.04,8.17,0,0,0
Newcastle upon Tyne East and Wallsend,Newcastle upon Tyne East & Wallsend,E14001378,420,NE,England,Borough,82.8,65,76875,49963,17793,35.61,Lab,Con,23.65,59.26,8.33,3.85,4.91,0,0,0
Newcastle upon Tyne North,Newcastle upon Tyne North,E14001379,421,NE,England,Borough,125.2,70.8,76503,"54,143","6,823",12.6,Lab,Con,31.78,44.38,14.03,4.05,5.76,0,0,0
Newport East,Newport East,W07000104,422,WA,Wales,Borough,75,60.9,76159,46405,5239,11.29,Lab,Con,36.2,47.49,5.71,1.88,6.13,0,2.59,0
Newport West and Islwyn,Newport West & Islwyn,W07000105,423,WA,Wales,County,93.7,63.7,76234,48537,2001,4.12,Lab,Con,37.67,41.79,5.1,1.95,8.86,0,4.62,0
Newry and Armagh,Newry & Armagh,N05000011,424,NI,Northern Ireland,County,13,62.4,74585,46571,9673,20.77,SF,DUP,0,,,0,,,,3.29
Newton Abbot,Newton Abbot,E14001381,425,SW,England,County,0.2,71.8,72956,52410,17456,33.31,Con,LD,55.56,17.72,22.25,2.87,0,0,0,1.6
Newton Aycliffe and Spennymoor,Newton Aycliffe & Spennymoor,E14001382,426,NE,England,County,73.8,60.8,71299,"43,372","3,408",7.86,Con,Lab,46.14,38.29,5.4,1.48,7.78,0,0,0.91
Mid Norfolk,Norfolk Mid,E14001365,427,EE,England,County,23.4,69.1,71060,49110,20388,41.51,Con,Lab,64.42,22.91,10.44,0.31,0,0,0,1.91
North Norfolk,Norfolk North,E14001396,428,EE,England,County,1.5,72.9,70719,51562,14492,28.11,Con,LD,58.46,7.72,30.36,0.09,3.37,0,0,0
North West Norfolk,Norfolk North West,E14001405,429,EE,England,County,6.1,64.6,75200,48569,21077,43.4,Con,Lab,66.04,22.64,7.78,3.54,0,0,0,0
South Norfolk,Norfolk South,E14001489,430,EE,England,County,50.4,74.3,69837,51857,17175,33.12,Con,Lab,56.5,23.38,16.97,3.16,0,0,0,0
South West Norfolk,Norfolk South West,E14001497,431,EE,England,County,12.3,66.3,72496,48049,24180,50.32,Con,Lab,68.65,18.33,8.25,3.02,0,0,0,1.74
Normanton and Hemsworth,Normanton & Hemsworth,E14001383,432,YH,England,County,29.9,57.5,75388,43367,3520,8.12,Lab,Con,31.43,39.55,4.22,1.8,15.24,0,0,7.75
North Down,North Down,N05000013,433,NI,Northern Ireland,County,4.7,60.7,70412,42757,2641,6.18,All,DUP,4.58,,,0,,,,0
Northampton North,Northampton North,E14001406,434,EM,England,Borough,34.1,67.5,75713,51084,3932,7.7,Con,Lab,49.77,42.08,5.69,2.46,0,0,0,0
Northampton South,Northampton South,E14001407,435,EM,England,Borough,73.2,69.4,71512,49608,13324,26.86,Con,Lab,57.76,30.9,7.92,3.42,0,0,0,0
South Northamptonshire,Northamptonshire South,E14001490,436,EM,England,County,43.6,72.9,76555,55827,23671,42.4,Con,Lab,63.18,20.78,11.11,3.8,0,0,0,1.14
North Northumberland,Northumberland North,E14001397,437,NE,England,County,30.9,72.7,72541,52740,17306,32.81,Con,Lab,55.93,23.12,16.09,3.4,1.47,0,0,0
Norwich North,Norwich North,E14001408,438,EE,England,Borough,7.8,70.6,71441,50423,6365,12.62,Con,Lab,51.56,38.93,6.23,2.27,0.04,0,0,0.97
Norwich South,Norwich South,E14001409,439,EE,England,Borough,2.4,70,73301,51308,12583,24.52,Lab,Con,29,53.53,9.45,4.83,3.19,0,0,0
Nottingham East,Nottingham East,E14001410,440,EM,England,Borough,13.7,59.5,75327,44806,18942,42.28,Lab,Con,20.84,63.11,6.3,3.11,3.41,0,0,3.23
Nottingham North and Kimberley,Nottingham North & Kimberley,E14001411,441,EM,England,Borough,47.1,57.8,74515,43037,2490,5.79,Lab,Con,40.22,46,3.75,2.48,5.63,0,0,1.91
Nottingham South,Nottingham South,E14001412,442,EM,England,Borough,34.5,59.3,76076,45126,10041,22.25,Lab,Con,31.56,53.81,6.72,3.29,4.63,0,0,0
Nuneaton,Nuneaton,E14001413,443,WM,England,Borough,none,64.2,70335,45190,13144,29.09,Con,Lab,60.61,31.52,4.12,3.74,0,0,0,0
Old Bexley and Sidcup,Old Bexley & Sidcup,E14001414,444,GL,England,Borough,11.9,69.8,74317,51867,20769,40.04,Con,Lab,63.93,23.89,8.3,3.45,0,0,0,0.44
Oldham East and Saddleworth,Oldham East & Saddleworth,E14001415,445,NW,England,County,none,63.2,72997,46164,1499,3.25,Lab,Con,40.27,43.51,5.25,1.69,6.46,0,0,2.83
"Oldham West, Chadderton and Royton","Oldham West, Chadderton & Royton",E14001416,446,NW,England,Borough,none,59.9,74183,44434,11127,25.04,Lab,Con,30.27,55.32,3.34,1.53,7.46,0,0,2.07
Orkney and Shetland,Orkney & Shetland,S14000051,447,SC,Scotland,County,none,66.5,34824,23160,2507,10.82,LD,SNP,9.87,6.69,44.82,0,3.89,34,0,0.73
Orpington,Orpington,E14001417,448,GL,England,Borough,31.2,68.4,71571,48958,20627,42.13,Con,Lab,61.91,19.77,14.59,3.73,0,0,0,0
Ossett and Denby Dale,Ossett & Denby Dale,E14001418,449,YH,England,County,92.5,67.9,71595,48608,11027,22.69,Con,Lab,53.85,31.17,4.94,1.24,5.11,0,0,3.69
Oxford East,Oxford East,E14001419,450,SE,England,Borough,8.6,63,72371,45598,15959,35,Lab,Con,21.45,56.45,14.02,4.7,2.3,0,0,1.09
Oxford West and Abingdon,Oxford West & Abingdon,E14001420,451,SE,England,County,31.1,73.5,72004,52915,9577,18.1,LD,Con,34.09,11.8,52.19,0.47,1.45,0,0,0
Paisley and Renfrewshire North,Paisley & Renfrewshire North,S14000101,452,SC,Scotland,Borough,44.2,66.9,69941,46778,11753,25.13,SNP,Lab,19.53,23.74,7.57,0,0.31,48.86,0,0
Paisley and Renfrewshire South,Paisley & Renfrewshire South,S14000102,453,SC,Scotland,County,17.1,66,69813,46078,11023,23.92,SNP,Lab,18.16,25.85,6.23,0,0,49.77,0,0
Peckham,Peckham,E14001421,454,GL,England,Borough,50.6,62.6,71176,44547,26553,59.61,Lab,Con,11.22,70.83,10.38,5.01,2.27,0,0,0.29
Mid and South Pembrokeshire,Pembrokeshire Mid & South,W07000100,455,WA,Wales,County,89.1,71.6,76820,54971,8621,15.68,Con,Lab,52.89,37.2,4.6,0,0,0,5.31,0
Pendle and Clitheroe,Pendle & Clitheroe,E14001422,456,NW,England,County,48.7,63,76941,48510,11568,23.85,Con,Lab,56.93,33.09,7.34,2.08,0,0,0,0.55
Penistone and Stocksbridge,Penistone & Stocksbridge,E14001423,457,YH,England,County,none,69.4,71377,49520,7210,14.56,Con,Lab,47.84,33.28,10.21,0,8.68,0,0,0
Penrith and Solway,Penrith & Solway,E14001424,458,NW,England,County,109.9,72.7,76720,"55,778","13,760",24.67,Con,Lab,54.82,30.15,8.17,3.11,1.79,0,0,1.97
Perth and Kinross-shire,Perth & Kinross-shire,S14000103,459,SC,Scotland,County,80.2,74,76320,56485,2364,4.19,SNP,Con,41.07,4.99,7.98,0,0.71,45.25,0,0
Peterborough,Peterborough,E14001425,460,EE,England,County,1.3,65.4,72273,47232,2333,4.94,Con,Lab,46.48,41.54,4.9,1.51,4.45,0,0,1.11
Plymouth Moor View,Plymouth Moor View,E14001426,461,SW,England,Borough,5.8,65.6,73378,48152,13262,27.54,Con,Lab,59.83,32.29,5.05,2.6,0.23,0,0,0
Plymouth Sutton and Devonport,Plymouth Sutton & Devonport,E14001427,462,SW,England,Borough,5.2,67,73495,49263,5122,10.4,Lab,Con,38.01,48.41,4.9,3,5.68,0,0,0
"Pontefract, Castleford and Knottingley","Pontefract, Castleford & Knottingley",E14001428,463,YH,England,County,14,56.7,72751,41268,1082,2.62,Lab,Con,35.57,38.19,6.78,0,15.79,0,0,3.67
Pontypridd,Pontypridd,W07000106,464,WA,Wales,County,80.2,61.8,73743,45579,8798,19.3,Lab,Con,27.33,46.63,1.4,0.22,8.46,0,10.89,5.07
Poole,Poole,E14001429,465,SW,England,Borough,4.1,67.6,72162,48801,18608,38.13,Con,Lab,58.8,20.67,15.35,3.44,0,0,0,1.74
Poplar and Limehouse,Poplar & Limehouse,E14001430,466,GL,England,Borough,18.4,68.1,75814,51665,22047,42.67,Lab,Con,17.67,60.34,15.5,3.4,2.36,0,0,0.73
Portsmouth North,Portsmouth North,E14001431,467,SE,England,Borough,none,63.9,71844,45910,15780,34.37,Con,Lab,61.36,26.99,7.45,2.84,0,0,0,1.36
Portsmouth South,Portsmouth South,E14001432,468,SE,England,Borough,none,63.9,74253,47425,5363,11.31,Lab,Con,37.33,48.64,11.42,0,2.1,0,0,0.51
Preston,Preston,E14001433,469,NW,England,Borough,25.1,59.1,72946,43112,11850,27.49,Lab,Con,29.8,57.29,6.76,2,4.16,0,0,0
Putney,Putney,E14001434,470,GL,England,Borough,11.2,76,73041,55526,4416,7.95,Lab,Con,36.37,44.33,16.9,2.34,0.06,0,0,0
Queen's Park and Maida Vale,Queen's Park & Maida Vale,E14001435,471,GL,England,Borough,89.3,59.5,75256,44799,18874,42.13,Lab,Con,19.79,61.92,13.91,3.21,0.92,0,0,0.26
Rawmarsh and Conisbrough,Rawmarsh & Conisbrough,E14001436,472,YH,England,County,67,57.7,70272,40544,1257,3.1,Lab,Con,36.98,40.08,3.7,0.48,16.12,0,0,2.65
Rayleigh and Wickford,Rayleigh & Wickford,E14001437,473,EE,England,County,3.5,69.3,76422,52997,30348,57.26,Con,Lab,72.93,15.67,7.7,3.7,0,0,0,0
Reading Central,Reading Central,E14001438,474,SE,England,Borough,58.3,72.3,71283,51530,8351,16.21,Lab,Con,36.4,52.6,6.38,3.11,1.11,0,0,0.39
Reading West and Mid Berkshire,Reading West & Mid Berkshire,E14001439,475,SE,England,County,69,70.6,69999,49444,16758,33.89,Con,Lab,56.79,22.89,16.9,3.42,0,0,0,0
Redcar,Redcar,E14001440,476,NE,England,Borough,7.4,62.7,71331,44720,4878,10.91,Con,Lab,47.53,36.62,4.81,1.56,6.52,0,0,2.96
Redditch,Redditch,E14001441,477,WM,England,Borough,6.7,67.9,69921,47501,18423,38.78,Con,Lab,64.67,25.89,6.4,3.05,0,0,0,0
Reigate,Reigate,E14001442,478,SE,England,County,30.4,70.2,76139,53469,19220,35.95,Con,LD,55.82,16.92,19.87,5.78,0,0,0,1.61
East Renfrewshire,Renfrewshire East,S14000021,479,SC,Scotland,County,none,75.9,72959,55357,5426,9.8,SNP,Con,35.14,12.38,7.54,0,0,44.94,0,0
Rhondda and Ogmore,Rhondda & Ogmore,W07000107,480,WA,Wales,County,46.3,57.8,73557,42549,17377,40.84,Lab,Con,15.45,56.29,2.28,1.39,11.52,0,12.43,0.65
Ribble Valley,Ribble Valley,E14001443,481,NW,England,County,63.7,68.7,75993,52240,16839,32.23,Con,Lab,59.84,27.61,8,2.84,0.01,0,0,1.7
Richmond and Northallerton,Richmond & Northallerton,E14001444,482,YH,England,County,12.6,71.3,72744,51880,24331,46.9,Con,Lab,63.34,16.44,12.48,3.81,0,0,0,3.93
Richmond Park,Richmond Park,E14001445,483,GL,England,Borough,8.2,78.7,75037,59082,7725,13.08,LD,Con,40.57,5.26,53.65,0,0,0,0,0.52
Rochdale,Rochdale,E14001446,484,NW,England,County,10.3,58.7,71697,42058,8109,19.28,Lab,Con,31.55,50.83,7.53,1.88,8.21,0,0,0
Rochester and Strood,Rochester & Strood,E14001447,485,SE,England,County,12.5,61.9,72155,44635,13553,30.36,Con,Lab,58.47,28.11,7.1,2.59,0,0,0,3.73
Romford,Romford,E14001448,486,GL,England,Borough,2,65.6,73730,48359,18536,38.33,Con,Lab,64.77,26.44,5.77,3.02,0,0,0,0
Romsey and Southampton North,Romsey & Southampton North,E14001449,487,SE,England,County,21.7,74.1,73831,54704,16251,29.71,Con,LD,57.85,12.12,28.14,0.71,0,0,0,1.17
Rossendale and Darwen,Rossendale & Darwen,E14001450,488,NW,England,County,3.1,66.9,74593,49913,9834,19.7,Con,Lab,56.35,36.64,4.17,2.48,0.36,0,0,0
Rother Valley,Rother Valley,E14001451,489,YH,England,County,8.6,64.8,70184,45488,6135,13.49,Con,Lab,46.11,32.62,4.83,2.47,11.68,0,0,2.29
Rotherham,Rotherham,E14001452,490,YH,England,Borough,22.9,57.8,75345,43521,3297,7.58,Lab,Con,33.09,40.67,6.24,0.11,17.02,0,0,2.86
Rugby,Rugby,E14001453,491,WM,England,Borough,0.8,70.4,72603,51119,13395,26.2,Con,Lab,57.33,31.13,8.29,3.25,0,0,0,0
"Ruislip, Northwood and Pinner","Ruislip, Northwood & Pinner",E14001454,492,GL,England,Borough,32.2,72.4,72168,52256,15810,30.25,Con,Lab,55.34,25.08,15.16,2.64,0.09,0,0,1.69
Runcorn and Helsby,Runcorn & Helsby,E14001455,493,NW,England,County,94.5,68.2,70950,48418,5779,11.94,Lab,Con,36.84,48.78,6.71,2.92,4.75,0,0,0
Runnymede and Weybridge,Runnymede & Weybridge,E14001456,494,SE,England,County,38.4,71.4,73778,52669,16072,30.52,Con,LD,53.22,17.75,22.7,2.69,0,0,0,3.65
Rushcliffe,Rushcliffe,E14001457,495,EM,England,County,1.5,78.1,76171,59496,7354,12.36,Con,Lab,47.34,34.98,15.96,0,0,0,0,1.71
Rutherglen,Rutherglen,S14000104,496,SC,Scotland,Borough,39.1,68.4,71612,49016,5855,11.95,SNP,Lab,17.26,31.16,7.19,0,0,43.1,0,1.28
Rutland and Stamford,Rutland & Stamford,E14001458,497,EM,England,County,85.7,75.9,70864,53774,25537,47.49,Con,LD,63.32,14.66,15.83,3.63,0,0,0,2.56
Salford,Salford,E14001459,498,NW,England,Borough,32.8,57.9,72169,41763,14248,34.12,Lab,Con,23.3,57.41,6.16,4.27,8.87,0,0,0
Salisbury,Salisbury,E14001460,499,SW,England,County,29.4,75.1,70242,52742,18848,35.74,Con,LD,55.25,18.74,19.51,5.09,0,0,0,1.41
Scarborough and Whitby,Scarborough & Whitby,E14001461,500,YH,England,County,none,67.3,73862,49724,10270,20.65,Con,Lab,55.49,34.84,6.11,0,0,0,0,3.56
Scunthorpe,Scunthorpe,E14001462,501,YH,England,County,18.8,63.6,74278,47258,10133,21.44,Con,Lab,56.32,34.88,2.64,1.83,4.33,0,0,0
Sefton Central,Sefton Central,E14001463,502,NW,England,County,22.5,76.4,74746,57089,10414,18.24,Lab,Con,34.33,52.57,6.64,2.07,3.65,0,0,0.74
Selby,Selby,E14001464,503,YH,England,County,48.2,70.6,74761,52757,14838,28.13,Con,Lab,57.95,29.83,6,3.04,0,0,0,3.18
Sevenoaks,Sevenoaks,E14001465,504,SE,England,County,14.9,69.9,73684,51488,21793,42.33,Con,LD,61.72,13.51,19.4,3.44,0,0,0,1.92
Sheffield Brightside and Hillsborough,Sheffield Brightside & Hillsborough,E14001466,505,YH,England,Borough,1.4,56.7,71154,40366,12591,31.19,Lab,Con,25.39,56.58,3.89,3,9.7,0,0,1.45
Sheffield Central,Sheffield Central,E14001467,506,YH,England,Borough,21.1,54,70453,38067,20773,54.57,Lab,Con,12.4,66.97,5.44,10.87,3.07,0,0,1.25
Sheffield Hallam,Sheffield Hallam,E14001468,507,YH,England,County,5.7,78.4,76637,60066,1108,1.84,Lab,LD,25.7,34.97,33.12,3,2.73,0,0,0.48
Sheffield Heeley,Sheffield Heeley,E14001469,508,YH,England,Borough,33.1,61.2,74614,45695,12220,26.74,Lab,Con,27.13,53.88,6.72,4.3,7.97,0,0,0
Sheffield South East,Sheffield South East,E14001470,509,YH,England,Borough,10.9,61.5,76223,46896,5214,11.12,Lab,Con,35.63,46.75,4.66,0.17,10.73,0,0,2.06
Sherwood Forest,Sherwood Forest,E14001471,510,EM,England,County,13.6,68.1,76543,52109,16290,31.26,Con,Lab,60.81,29.55,5.7,2.6,0,0,0,1.34
Shipley,Shipley,E14001472,511,YH,England,County,none,72.9,74095,54004,6242,11.56,Con,Lab,50.81,39.25,5.9,2.41,0,0,0,1.64
Shrewsbury,Shrewsbury,E14001473,512,WM,England,Borough,9.1,68.6,75139,51554,7175,13.92,Con,Lab,49.37,35.46,10.81,3.25,0,0,0,1.11
North Shropshire,Shropshire North,E14001398,513,WM,England,Borough,7.8,67.8,77052,52271,20543,39.3,Con,Lab,61.69,22.39,10.44,3.29,0,0,0,2.18
South Shropshire,Shropshire South,E14001493,514,WM,England,Borough,10.8,74.9,77034,57736,28636,49.6,Con,Lab,65.39,15.79,15.36,3.46,0,0,0,0
Sittingbourne and Sheppey,Sittingbourne & Sheppey,E14001474,515,SE,England,County,8.4,60.9,76818,46763,21337,45.63,Con,Lab,66.52,20.89,6.33,2.23,0,0,0,4.03
